video_id,title,channel_title,publish_time,view_count,like_count,comment_count,dislike_count,like_view_ratio,comment_view_ratio,cluster,pca1,pca2
yZvFH7B6gKI,What Is Data Analytics? - An Introduction (Full Guide),CareerFoundry,2021-03-25 13:13:45+00:00,1244614,31203,632,0,0.025070423440520514,0.0005077879567480359,1,1.6823476186513857,0.035762484338652034
dcXqhMqhZUo,Data Analytics vs Data Science,IBM Technology,2023-11-08 12:00:38+00:00,372782,8147,131,0,0.021854595983711658,0.000351411817094173,0,-0.19042794529061807,0.1466262236688051
37x5dKW-X5U,What is Data Analytics | Data Analytics in 5 Minutes | Intellipaat,Intellipaat,2021-10-19 13:55:59+00:00,236003,2620,69,0,0.011101553793807705,0.00029236916479875256,0,-0.5313480550909548,0.17430459312644297
SfE3aO3LWi0,I started my data analyst career taking these beginner courses,Wale Gbads,2021-05-11 19:28:57+00:00,268823,14161,848,0,0.05267778426697121,0.003154491989152714,1,0.9040872737227276,-0.7141182276665499
qWEHO8b6WbA,How I Would Learn Data Analysis (If I Could Start Over),Stefanovic,2022-10-24 13:43:39+00:00,548292,32231,467,0,0.058784370371991565,0.0008517359363258994,1,1.1881556849590935,-0.3721524970868444
AYWLZ1lES6g,FASTEST Way to Become a Data Analyst and ACTUALLY Get a Job,Stefanovic,2022-07-11 13:07:22+00:00,2985814,115506,1593,0,0.038684928130151446,0.0005335228517248563,2,6.744591159210332,-0.6756439204860091
NOJKAzIH8hA,How to tell if a career in Data Analytics is right for you...,CareerFoundry,2022-09-16 12:00:26+00:00,491050,18425,267,0,0.037521637307809795,0.0005437328174320334,0,0.40814902947849196,-0.03311948630852056
_gF2Mj1354M,How I&#39;d Learn to be a Data Analyst in 2024,Luke Barousse,2024-01-12 18:51:50+00:00,236270,7534,186,0,0.03188724764041139,0.0007872349430736022,0,-0.20372418039978962,-0.0067652549320994055
E_1EsC0cwI8,HOW TO BECOME A DATA ANALYST IN 2024,HOW TO BECOME?!,2024-06-20 11:38:41+00:00,124,5,0,0,0.04032258064516129,0.0,0,-0.8220428445505694,0.0897537973353939
Y-6fS9DzCak,Perfect Data Analytics Roadmap 🔥 #dataanalytics #businessanalytics,BEPEC by Kanth - #BuildExperience & Get Hired!,2023-05-22 13:58:39+00:00,130112,9294,47,0,0.07143076733890802,0.00036122725036891293,0,-0.36857065877045186,0.01925832528622465
